actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,step
0.31498666291870175,-1.6903886197553948,-0.04999999999999823,0.03498381016677013,0.09679961567055902,1.001600334584713,0.04644919804448727,1000
0.40876371987536547,-2.684972042322159,-0.04999999999999823,0.04034346595546231,0.0879584934429065,1.0016127275824547,0.005363983576418832,2000
0.3140455519990064,-3.8429786401987074,-0.04999999999999823,0.02923922157450579,0.0809966547718198,1.0016207093596459,0.003561009433324216,3000
0.16560531172831544,-5.075484810352325,-0.04999999999999823,0.015378957098873798,0.07710955548981248,1.0016002563238144,0.005135900420937105,4000
0.2813695045162458,-6.252950341463089,-0.04999999999999823,0.023057143973564963,0.07330072427899219,0.9873518480658531,0.026638003736399695,5000
0.07856204454228281,-7.530867252111435,-0.04999999999999823,0.007159557045262772,0.07060930589069285,0.9873300341367721,0.03667162178471335,6000
-0.10911538249696605,-8.855970407247543,-0.04999999999999823,-0.006065466325759189,0.07324685239669045,0.9873704580366611,0.05690695083729224,7000
-0.24240637310862076,-10.220882617473602,-0.04999999999999823,-0.015270469121227507,0.07936088970699463,0.9874011281132699,0.07628760967589915,8000
-0.3541028046272695,-11.620059596061706,-0.04999999999999823,-0.02570556954591302,0.08892107116525809,0.9967388225197792,0.10259878968418343,9000
-0.38429923584870995,-13.057523561000824,-0.04999999999999823,-0.030542416098178364,0.0997667326056466,0.9967369520962238,0.10838476976420497,10000
-0.3892289662086405,-14.522041297435761,-0.04999999999999823,-0.03352358837093925,0.11071042769207837,0.9967252704203129,0.14572250750823879,11000
-0.38187543793814255,-16.010181359291078,-0.04999999999999823,-0.035659896197728816,0.1219647757417917,0.9967478361725807,0.1972786043053493,12000
-0.35503485972993076,-17.48483277797699,-0.04999999999999823,-0.034429661506350386,0.13192101280610838,1.002097285926342,0.19800629714806564,13000
-0.3386336985138478,-18.99736954498291,-0.04999999999999823,-0.035761678028502504,0.1400965151943424,1.002080377548933,0.196907029499067,14000
-0.3263167148653883,-20.511737255096435,-0.04999999999999823,-0.03786243252007989,0.14717312901109184,1.0020827340483665,0.24045880291843788,15000
-0.3017388004909735,-22.012044058799745,-0.04999999999999823,-0.03861758608766831,0.15236611050853974,1.0020966054201126,0.27156569589907303,16000
-0.26696767036942765,-23.455437943458556,-0.04999999999999823,-0.03845410440271371,0.15539111599297234,0.9994458058476448,0.38267685630754567,17000
-0.20728084880509415,-24.87697380065918,-0.04999999999999823,-0.034759382881282365,0.1578511585001222,0.9994338929951191,0.4358522961870767,18000
-0.11922798621002585,-26.254919080734254,-0.04999999999999823,-0.02789041297044605,0.1605334567019578,0.999441093802452,0.4467469454263337,19000
